model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,gpt-4.1
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,0.625,0.5
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,0.25,0.5
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,0.7142857142857143,,0.5
GPT-4.1,scaffold_GPT-4.1,0.7142857142857143,0.375,
GPT-5-Mini,scaffold_GPT-5-Mini,1.0,0.875,
GPT-O3-Mini,scaffold_GPT-O3-Mini,0.0,0.5,
GPT-O4-Mini,scaffold_GPT-O4-Mini,0.2857142857142857,0.625,
GPT-OSS-120B,scaffold_GPT-OSS-120B,0.7142857142857143,1.0,
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,0.2857142857142857,0.125,0.5
plain,plain,0.2857142857142857,0.125,0.5
