model_id,model_label,scaffold_path,scaffold_sha256,n_chars
gpt-4.1,GPT-4.1,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/travel_planning/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-4.1.md,e7ba066351c609383f5a85cdaa29733be144c8b7228a6a6a210395eb3790737c,4449
gpt-5-pro,GPT-5-Pro,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/travel_planning/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-5-Pro.md,3d2c9cc3b86f68fe81b6353198d60bdeac0ea7eb8e2172ffb347b26628f634eb,51
o4-mini-2025-04-16,GPT-O4-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/travel_planning/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-O4-Mini.md,5efc1e79cc252afe0f73a9eb1a64971577ceabee641e405d86de44da2bf97af7,1108
o3-mini-2025-01-31,GPT-O3-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/travel_planning/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-O3-Mini.md,a23ab8d282883ac282da193f66c7347e9467ebc37c781258e239ac8c1aee5780,2301
openai/gpt-oss-120b,GPT-OSS-120B,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/travel_planning/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-OSS-120B.md,6dd95c02df7e0f6b1b2233eb32a7cf380c2d62b7bc8b7fc769e23537a367907c,2949
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/travel_planning/20260609_stable_frontier_v2/augmentation/scaffolds/Claude-Sonnet-4.6.md,885d0e58e7056c5b5e5c9836d913db6839f0f8a859ff1f72a1b49accc876e89c,3937
anthropic/claude-opus-4-8,Claude-Opus-4.8,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/travel_planning/20260609_stable_frontier_v2/augmentation/scaffolds/Claude-Opus-4.8.md,02ba38cbc792f318410ff9f6aec568e4f0df15dce8cc5ea34319b96c5f832816,2804
google/gemini-3.1-pro,Gemini-3.1-Pro,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/travel_planning/20260609_stable_frontier_v2/augmentation/scaffolds/Gemini-3.1-Pro.md,cb21bca7f440afcbc9379f984c10cb4214d52f877cf25c908c2103355f310a1c,827
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/travel_planning/20260609_stable_frontier_v2/augmentation/scaffolds/DeepSeek-V3.1.md,f6a20495c9482ed379deedf76598b3f59ec08acc7d457c272c1a66a4450f327c,4723
gpt-5-mini-2025-08-07,GPT-5-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/travel_planning/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-5-Mini.md,ad6fb975075d0237dbf83c799e74587e84def944a88dee80af86f0da15b8c435,8996
