task,task_label,mode,longer_wins,shorter_wins,decisive_pairs,share_longer_wins,two_sided_binomial_p,judge_ties,length_ties
counselling,Counseling,augmentation,280,99,379,0.7387862796833773,3.9642084787667144e-21,69,2
counselling,Counseling,automation,292,67,359,0.8133704735376045,1.3049754987871537e-34,91,0
market_trends,Market Trends,augmentation,228,133,361,0.631578947368421,6.529478187533508e-07,86,3
market_trends,Market Trends,automation,266,98,364,0.7307692307692307,4.764332265168173e-19,85,1
meal_plan,Menu Planning,augmentation,169,194,363,0.465564738292011,0.20772626240044026,84,3
meal_plan,Menu Planning,automation,245,131,376,0.651595744680851,4.317246383178584e-09,74,0
operations_research,Operations Research,augmentation,227,128,355,0.6394366197183099,1.6586108264971288e-07,92,3
operations_research,Operations Research,automation,243,92,335,0.7253731343283583,7.357738260025973e-17,112,3
tax_prep,Tax Prep,augmentation,228,137,365,0.6246575342465753,2.200028057726418e-06,82,3
tax_prep,Tax Prep,automation,248,103,351,0.7065527065527065,6.2313234136592944e-15,99,0
travel_planning,Travel Agent,augmentation,203,164,367,0.553133514986376,0.04715453455343234,80,3
travel_planning,Travel Agent,automation,278,100,378,0.7354497354497355,1.6494685929221696e-20,72,0
tutoring,Tutoring,augmentation,202,169,371,0.5444743935309974,0.09650982604853131,78,1
tutoring,Tutoring,automation,259,102,361,0.7174515235457064,7.07463660536375e-17,89,0
