model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,google/gemini-3.1-pro,gpt-4.1
Claude-Opus-4.8,automation_Claude-Opus-4.8,,0.625,1.0,0.6666666666666666
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,0.75,0.5,0.3333333333333333
DeepSeek-V3.1,automation_DeepSeek-V3.1,0.8571428571428571,,0.75,0.3333333333333333
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,0.0,0.0,0.0,
GPT-4.1,automation_GPT-4.1,0.42857142857142855,0.25,0.25,
GPT-5-Mini,automation_GPT-5-Mini,0.5714285714285714,1.0,0.625,
GPT-O3-Mini,automation_GPT-O3-Mini,0.2857142857142857,0.125,0.125,
GPT-O4-Mini,automation_GPT-O4-Mini,0.8571428571428571,0.625,0.75,
GPT-OSS-120B,automation_GPT-OSS-120B,0.14285714285714285,0.625,0.5,
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,0.8571428571428571,0.5,,0.6666666666666666
