model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,automation_Claude-Opus-4.8,4.0,0.611111111111111
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,6.0,0.5694444444444444
DeepSeek-V3.1,automation_DeepSeek-V3.1,3.0,0.6646825396825397
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,10.0,0.0
GPT-4.1,automation_GPT-4.1,8.0,0.33134920634920634
GPT-5-Mini,automation_GPT-5-Mini,2.0,0.7043650793650794
GPT-O3-Mini,automation_GPT-O3-Mini,9.0,0.13095238095238096
GPT-O4-Mini,automation_GPT-O4-Mini,7.0,0.5654761904761905
GPT-OSS-120B,automation_GPT-OSS-120B,1.0,0.8154761904761904
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,5.0,0.6071428571428571
