model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,1.0,0.0,1.0,0.0,3,1.0
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,2.0,0.0,0.8660714285714286,0.012626906806902628,3,2.0
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,2.0,1.4142135623730951,0.8571428571428572,0.2020305089104421,3,3.0
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,4.0,0.0,0.5357142857142857,0.05050762722761051,3,4.0
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,4.5,0.7071067811865476,0.4642857142857143,0.050507627227610534,3,5.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,4.75,3.181980515339464,0.4375,0.08838834764831845,3,6.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.25,0.3535533905932738,0.375,0.1767766952966369,3,7.0
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,5.833333333333333,1.2583057392117916,0.30357142857142855,0.06438484420471409,3,8.0
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,7.0,0.0,0.2589285714285714,0.16414978848973427,3,9.0
plain,plain,plain,6.5,3.5,0.16666666666666666,0.2886751345948129,3,10.0
