model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,google/gemini-3.1-pro,gpt-4.1
Claude-Opus-4.8,automation_Claude-Opus-4.8,,4.0,2.0,1.0
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,1.0,1.0,2.0
DeepSeek-V3.1,automation_DeepSeek-V3.1,4.0,,6.0,3.0
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.0,9.0,9.0,
GPT-4.1,automation_GPT-4.1,5.5,5.5,4.0,
GPT-5-Mini,automation_GPT-5-Mini,1.0,2.0,5.0,
GPT-O3-Mini,automation_GPT-O3-Mini,7.0,8.0,8.0,
GPT-O4-Mini,automation_GPT-O4-Mini,5.5,5.5,7.0,
GPT-OSS-120B,automation_GPT-OSS-120B,3.0,3.0,3.0,
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,2.0,7.0,,4.0
