model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,gpt-4.1
Claude-Opus-4.8,automation_Claude-Opus-4.8,,5.5,2.8333333333333335
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,4.333333333333333,8.333333333333334
DeepSeek-V3.1,automation_DeepSeek-V3.1,11.666666666666666,,7.833333333333333
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,23.0,26.0,
GPT-4.1,automation_GPT-4.1,8.0,12.166666666666666,
GPT-5-Mini,automation_GPT-5-Mini,20.0,23.0,
GPT-O3-Mini,automation_GPT-O3-Mini,14.0,19.166666666666668,
GPT-O4-Mini,automation_GPT-O4-Mini,3.0,9.0,
GPT-OSS-120B,automation_GPT-OSS-120B,4.0,9.0,
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,16.333333333333332,17.833333333333332,7.0
