model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank,task_slug,task_title,mode,score,rank_value,source,judge_model
plain,plain,plain,2.5,1.2909944487358056,0.7098214285714286,0.155930796397973,4,1.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.7098214285714286,1.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,2.8333333333333335,1.607275126832159,0.7083333333333334,0.2602082499332666,4,2.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.7083333333333334,2.0,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,4.0,4.358898943540674,0.7023809523809524,0.3982316353256602,4,3.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.7023809523809524,3.0,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,2.8333333333333335,1.607275126832159,0.6904761904761904,0.1620316379620976,4,4.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.6904761904761904,4.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,5.0,0.0,0.3928571428571428,0.1287696884094282,4,5.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.3928571428571428,5.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,5.666666666666667,2.3094010767585034,0.375,0.125,4,6.5,counselling,Counseling session (Anthropic Econ Index),augmentation,0.375,6.5,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,5.666666666666667,2.3094010767585034,0.375,0.125,4,6.5,counselling,Counseling session (Anthropic Econ Index),augmentation,0.375,6.5,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,5.666666666666667,1.5275252316519463,0.3452380952380952,0.135212103471435,4,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.3452380952380952,8.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,5.666666666666667,2.3094010767585034,0.3392857142857142,0.1812302065195039,4,9.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.3392857142857142,9.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,6.333333333333333,3.7859388972001824,0.2916666666666667,0.4018187817080398,4,10.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.2916666666666667,10.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,3.3333333333333335,2.516611478423583,0.75,0.25,4,1.0,counselling,Counseling session (Anthropic Econ Index),automation,0.75,1.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,2.0,1.0,0.6944444444444445,0.3127313958110473,4,2.0,counselling,Counseling session (Anthropic Econ Index),automation,0.6944444444444445,2.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,3.3333333333333335,2.0816659994661326,0.6904761904761904,0.2704242069428701,4,3.0,counselling,Counseling session (Anthropic Econ Index),automation,0.6904761904761904,3.0,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,3.3333333333333335,2.3094010767585034,0.6607142857142857,0.2531686942635326,4,4.0,counselling,Counseling session (Anthropic Econ Index),automation,0.6607142857142857,4.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,3.6666666666666665,0.5773502691896258,0.6547619047619048,0.0515491311776452,4,5.0,counselling,Counseling session (Anthropic Econ Index),automation,0.6547619047619048,5.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,2.6666666666666665,1.5275252316519468,0.6527777777777778,0.3342002615421101,4,6.0,counselling,Counseling session (Anthropic Econ Index),automation,0.6527777777777778,6.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,4.0,1.0,0.4623015873015872,0.1487301375548425,4,7.0,counselling,Counseling session (Anthropic Econ Index),automation,0.4623015873015872,7.0,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,automation_GPT-4.1,6.833333333333333,0.7637626158259734,0.2619047619047619,0.020619652471058,4,8.0,counselling,Counseling session (Anthropic Econ Index),automation,0.2619047619047619,8.0,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,7.5,0.5,0.1726190476190476,0.0676060517357175,4,9.0,counselling,Counseling session (Anthropic Econ Index),automation,0.1726190476190476,9.0,panel_aggregate,aggregate
gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.666666666666666,0.5773502691896258,0.0,0.0,4,10.0,counselling,Counseling session (Anthropic Econ Index),automation,0.0,10.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,1.3333333333333333,0.5773502691896257,0.9523809523809524,0.0824786098842322,4,1.0,market_trends,Market trends analysis,augmentation,0.9523809523809524,1.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,2.8333333333333335,1.0408329997330663,0.7321428571428571,0.1525714954520988,4,2.0,market_trends,Market trends analysis,augmentation,0.7321428571428571,2.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.0,2.0,0.6666666666666666,0.3818813079129866,4,3.0,market_trends,Market trends analysis,augmentation,0.6666666666666666,3.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,2.8333333333333335,0.2886751345948128,0.6547619047619048,0.135212103471435,4,4.0,market_trends,Market trends analysis,augmentation,0.6547619047619048,4.0,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,4.666666666666667,1.1547005383792517,0.5119047619047619,0.1958866984750516,4,5.0,market_trends,Market trends analysis,augmentation,0.5119047619047619,5.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.333333333333333,1.1547005383792517,0.5,0.0,4,6.0,market_trends,Market trends analysis,augmentation,0.5,6.0,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,6.0,1.0,0.3511904761904762,0.0916357399901229,4,7.0,market_trends,Market trends analysis,augmentation,0.3511904761904762,7.0,panel_aggregate,aggregate
plain,plain,plain,5.75,3.2015621187164243,0.3169642857142857,0.2939204708714228,4,8.0,market_trends,Market trends analysis,augmentation,0.3169642857142857,8.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,7.0,3.4641016151377544,0.2083333333333333,0.2602082499332666,4,9.0,market_trends,Market trends analysis,augmentation,0.2083333333333333,9.0,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,7.333333333333333,0.5773502691896257,0.1666666666666666,0.1443375672974064,4,10.0,market_trends,Market trends analysis,augmentation,0.1666666666666666,10.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,2.1666666666666665,1.607275126832159,0.7638888888888888,0.2055367859298436,4,1.0,market_trends,Market trends analysis,automation,0.7638888888888888,1.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,2.8333333333333335,1.0408329997330663,0.7440476190476191,0.1161858410472805,4,2.0,market_trends,Market trends analysis,automation,0.7440476190476191,2.0,panel_aggregate,aggregate
