model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
plain,plain,plain,2.125,0.47871355387816905,0.7455357142857143,0.0949120161851308,4,1.0
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,2.5,1.5,0.6904761904761904,0.10309826235529033,4,2.0
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,3.5,1.3228756555322954,0.6547619047619048,0.13521210347143509,4,3.0
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,3.3333333333333335,1.4433756729740645,0.6011904761904762,0.16203163796209763,4,4.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.6666666666666665,2.362907813126304,0.5833333333333334,0.3818813079129867,4,5.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.5,1.3228756555322954,0.5,0.0,4,6.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,5.166666666666667,3.7527767497325675,0.4166666666666667,0.3818813079129867,4,7.0
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,6.833333333333333,0.7637626158259734,0.3452380952380952,0.05154913117764517,4,8.0
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,6.833333333333333,2.254624876411447,0.21428571428571427,0.061858957413174195,4,9.0
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,7.833333333333333,0.2886751345948129,0.16666666666666666,0.19094065395649334,4,10.0
