model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,automation_Claude-Opus-4.8,4.0,0.6458333333333333
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,7.0,0.35416666666666663
DeepSeek-V3.1,automation_DeepSeek-V3.1,2.0,0.7619047619047619
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,10.0,0.0
GPT-4.1,automation_GPT-4.1,8.0,0.33035714285714285
GPT-5-Mini,automation_GPT-5-Mini,6.0,0.5357142857142857
GPT-O3-Mini,automation_GPT-O3-Mini,9.0,0.2589285714285714
GPT-O4-Mini,automation_GPT-O4-Mini,3.0,0.6517857142857143
GPT-OSS-120B,automation_GPT-OSS-120B,1.0,0.8571428571428572
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,5.0,0.5694444444444444
