model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank,task_slug,task_title,mode,score,rank_value,source,judge_model
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,1.1666666666666667,0.2886751345948129,0.9583333333333334,0.0721687836487032,4,1.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.9583333333333334,1.0,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,2.5,1.3228756555322954,0.7738095238095237,0.1752670460039935,4,2.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.7738095238095237,2.0,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,3.1666666666666665,1.2583057392117916,0.7440476190476191,0.1161858410472805,4,3.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.7440476190476191,3.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,3.6666666666666665,1.1547005383792517,0.6547619047619048,0.135212103471435,4,4.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.6547619047619048,4.0,panel_aggregate,aggregate
plain,plain,plain,4.125,2.174664725116648,0.5446428571428572,0.1740498990144457,4,5.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.5446428571428572,5.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,4.333333333333333,1.5275252316519463,0.5,0.125,4,6.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.5,6.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,6.0,2.6457513110645907,0.2559523809523809,0.2115399481418674,4,7.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.2559523809523809,7.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,6.333333333333333,2.8867513459481287,0.25,0.2165063509461096,4,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.25,8.0,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,7.0,1.0,0.2202380952380952,0.0843895647545108,4,9.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.2202380952380952,9.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,7.333333333333333,2.0816659994661326,0.0833333333333333,0.1443375672974064,4,10.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.0833333333333333,10.0,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,1.6666666666666667,0.7637626158259733,0.875,0.125,4,1.0,counselling,Counseling session (Anthropic Econ Index),automation,0.875,1.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,1.8333333333333333,1.0408329997330663,0.8055555555555555,0.1734721666221777,4,2.0,counselling,Counseling session (Anthropic Econ Index),automation,0.8055555555555555,2.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,2.3333333333333335,0.7637626158259733,0.7797619047619048,0.0843895647545108,4,3.0,counselling,Counseling session (Anthropic Econ Index),automation,0.7797619047619048,3.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,4.0,2.0,0.6190476190476191,0.2411265369110606,4,4.0,counselling,Counseling session (Anthropic Econ Index),automation,0.6190476190476191,4.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,3.8333333333333335,0.2886751345948129,0.5099206349206349,0.1552571441229336,4,5.0,counselling,Counseling session (Anthropic Econ Index),automation,0.5099206349206349,5.0,panel_aggregate,aggregate
