model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,gpt-4.1
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,2.5,3.0
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,9.0,5.0
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,2.5,,3.0
GPT-4.1,scaffold_GPT-4.1,5.0,5.0,
GPT-5-Mini,scaffold_GPT-5-Mini,7.0,7.5,
GPT-O3-Mini,scaffold_GPT-O3-Mini,8.0,5.0,
GPT-O4-Mini,scaffold_GPT-O4-Mini,5.0,2.5,
GPT-OSS-120B,scaffold_GPT-OSS-120B,2.5,7.5,
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,5.0,1.0,1.0
plain,plain,1.0,5.0,3.0
