model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,gpt-4.1
Claude-Opus-4.8,automation_Claude-Opus-4.8,,9.666666666666666,6.5
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,3.1666666666666665,4.666666666666667
DeepSeek-V3.1,automation_DeepSeek-V3.1,2.0,,6.5
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,23.0,26.0,
GPT-4.1,automation_GPT-4.1,5.833333333333333,13.833333333333334,
GPT-5-Mini,automation_GPT-5-Mini,19.666666666666668,20.5,
GPT-O3-Mini,automation_GPT-O3-Mini,14.666666666666666,18.666666666666668,
GPT-O4-Mini,automation_GPT-O4-Mini,7.166666666666667,7.666666666666667,
GPT-OSS-120B,automation_GPT-OSS-120B,11.0,5.666666666666667,
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,16.666666666666668,20.833333333333332,8.333333333333334
