model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
plain,plain,plain,2.75,3.5,0.71875,0.41300474169997936,4,1.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.0,2.0,0.6547619047619048,0.3785265022758249,4,2.0
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.5,0.8660254037844386,0.5714285714285715,0.12371791482634843,4,3.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.166666666666667,2.9297326385411577,0.5416666666666666,0.3145764348029479,4,4.0
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,4.333333333333333,1.5275252316519465,0.5119047619047619,0.1958866984750516,4,5.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,4.666666666666667,1.5275252316519468,0.4583333333333333,0.07216878364870323,4,6.0
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,5.166666666666667,0.7637626158259733,0.43452380952380953,0.06271222471936155,4,7.0
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,6.333333333333333,3.0550504633038935,0.36309523809523814,0.3104952703748804,4,8.0
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,6.0,3.605551275463989,0.33928571428571425,0.46940855100338985,4,9.0
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,6.166666666666667,2.753785273643051,0.3333333333333333,0.38188130791298663,4,10.0
