model_id,model_label,scaffold_path,scaffold_sha256,n_chars
gpt-4.1,GPT-4.1,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-4.1.md,97ba2032ecf320eee16083ea34ee339c9ce7a51d924a10b103bcf66f7c58f861,2942
gpt-5-pro,GPT-5-Pro,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-5-Pro.md,3d2c9cc3b86f68fe81b6353198d60bdeac0ea7eb8e2172ffb347b26628f634eb,51
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260609_stable_frontier_v2/augmentation/scaffolds/DeepSeek-V3.1.md,af97e030ab8f2d0542c9a79220281409390250689c02942c732cc3ad9ac49bc5,3409
o4-mini-2025-04-16,GPT-O4-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-O4-Mini.md,284eacc95d929f8fa4629e583510bcb83e6544d7a0f0483197041bf5c2001fa9,3240
o3-mini-2025-01-31,GPT-O3-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-O3-Mini.md,138a7431b79df5d69c2d536a3fd4bb7953067a537581efae4acfdb50545ff62c,2796
openai/gpt-oss-120b,GPT-OSS-120B,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-OSS-120B.md,3fba2ffbd1e53c3031ee493b0d3c1f732b9959fda45bba41833d728f2d8a07c6,4247
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260609_stable_frontier_v2/augmentation/scaffolds/Claude-Sonnet-4.6.md,5299a04e5dae8958b5eb512140a8549c7d80de4086fdfcf502c8d677358e2fb2,5307
anthropic/claude-opus-4-8,Claude-Opus-4.8,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260609_stable_frontier_v2/augmentation/scaffolds/Claude-Opus-4.8.md,cb84602960abe5ce49119675beda8de3a25df2db3115061228895b59f2535236,3829
google/gemini-3.1-pro,Gemini-3.1-Pro,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260609_stable_frontier_v2/augmentation/scaffolds/Gemini-3.1-Pro.md,194612e74eee00e5994028b024ec1478996bd5fa0ac0cabfb57b5d52a7c580e8,1619
gpt-5-mini-2025-08-07,GPT-5-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-5-Mini.md,3a2013c6f9dda400cc2c0c31a2de72109a0e7b0ff7ea091c4358895851d69833,652
