judge_model,model_id,model_label,condition,avg_rank,avg_win_rate,total_wins,total_games
anthropic/claude-opus-4-8,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,1.0,1.0,7.0,7.0
anthropic/claude-opus-4-8,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,2.0,0.8571428571428571,6.0,7.0
anthropic/claude-opus-4-8,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.5,0.5714285714285714,4.0,7.0
anthropic/claude-opus-4-8,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,3.5,0.5714285714285714,4.0,7.0
anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,5.5,0.42857142857142855,3.0,7.0
anthropic/claude-opus-4-8,plain,plain,plain,5.5,0.42857142857142855,3.0,7.0
anthropic/claude-opus-4-8,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,7.0,0.14285714285714285,1.0,7.0
anthropic/claude-opus-4-8,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,8.0,0.0,0.0,7.0
anthropic/claude-opus-4-8,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,,0.0,0.0
anthropic/claude-opus-4-8,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,,0.0,0.0
deepseek-ai/DeepSeek-V3.1,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,1.0,0.75,6.0,8.0
deepseek-ai/DeepSeek-V3.1,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,2.5,0.625,5.0,8.0
deepseek-ai/DeepSeek-V3.1,plain,plain,plain,2.5,0.625,5.0,8.0
deepseek-ai/DeepSeek-V3.1,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,4.5,0.5,4.0,8.0
deepseek-ai/DeepSeek-V3.1,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,4.5,0.5,4.0,8.0
deepseek-ai/DeepSeek-V3.1,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,7.5,0.375,3.0,8.0
deepseek-ai/DeepSeek-V3.1,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,7.5,0.375,3.0,8.0
deepseek-ai/DeepSeek-V3.1,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,7.5,0.375,3.0,8.0
deepseek-ai/DeepSeek-V3.1,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,7.5,0.375,3.0,8.0
deepseek-ai/DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,,,0.0,0.0
gpt-4.1,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,1.5,0.75,3.0,4.0
gpt-4.1,plain,plain,plain,1.5,0.75,3.0,4.0
gpt-4.1,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.0,0.5,2.0,4.0
gpt-4.1,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.5,0.25,1.0,4.0
gpt-4.1,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,4.5,0.25,1.0,4.0
gpt-4.1,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,,,0.0,0.0
gpt-4.1,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,,,0.0,0.0
gpt-4.1,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,,,0.0,0.0
gpt-4.1,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,,,0.0,0.0
gpt-4.1,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,,,0.0,0.0
