left_idx,right_idx,replicate_id,judgment,winner,short_rationale,option_1_scores_json,option_2_scores_json,option_1_average,option_2_average,parse_ok,judge_model,judge_label
1,0,0,"{
  ""final_choice"": ""option_1"",
  ""short_rationale"": ""Option 1 provides more specific, detailed trends that directly address the requested factors (e.g., 'new terminals coming online,' 'above the five-year average'), includes a dedicated section on factor interaction, and offers a clearer, more actionable summary for investors."",
  ""option_1_scores"": {
    ""task_dimension_1"": 9,
    ""task_dimension_2"": 8,
    ""task_dimension_3"": 8,
    ""task_dimension_4"": 8,
    ""task_dimension_5"": 7,
    ""task_dimension_6"": 8,
    ""general_instruction_following"": 9,
    ""general_accuracy_specificity"": 8,
    ""general_practical_usefulness"": 8,
    ""general_organization_readability"": 8,
    ""general_tone_audience_fit"": 8
  },
  ""option_2_scores"": {
    ""task_dimension_1"": 6,
    ""task_dimension_2"": 5,
    ""task_dimension_3"": 6,
    ""task_dimension_4"": 5,
    ""task_dimension_5"": 5,
    ""task_dimension_6"": 5,
    ""general_instruction_following"": 7,
    ""general_accuracy_specificity"": 6,
    ""general_practical_usefulness"": 6,
    ""general_organization_readability"": 6,
    ""general_tone_audience_fit"": 6
  },
  ""option_1_average"": 8.0,
  ""option_2_average"": 5.7
}",option_1,"Option 1 provides more specific, detailed trends that directly address the requested factors (e.g., 'new terminals coming online,' 'above the five-year average'), includes a dedicated section on factor interaction, and offers a clearer, more actionable summary for investors.","{""general_accuracy_specificity"": 8, ""general_instruction_following"": 9, ""general_organization_readability"": 8, ""general_practical_usefulness"": 8, ""general_tone_audience_fit"": 8, ""task_dimension_1"": 9, ""task_dimension_2"": 8, ""task_dimension_3"": 8, ""task_dimension_4"": 8, ""task_dimension_5"": 7, ""task_dimension_6"": 8}","{""general_accuracy_specificity"": 6, ""general_instruction_following"": 7, ""general_organization_readability"": 6, ""general_practical_usefulness"": 6, ""general_tone_audience_fit"": 6, ""task_dimension_1"": 6, ""task_dimension_2"": 5, ""task_dimension_3"": 6, ""task_dimension_4"": 5, ""task_dimension_5"": 5, ""task_dimension_6"": 5}",8.0,5.7,True,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1
2,0,0,"{
  ""final_choice"": ""option_1"",
  ""short_rationale"": ""Option 1 excels in specificity, directly addressing the requested factors (supply, demand, weather, storage, LNG exports, infrastructure, policy) with concrete examples and clear causal links, making it far more practical and insightful for a client briefing. Option 2 is generic, lacks detail, and fails to meet the instruction's requirement to discuss how the specified factors interact."",
  ""option_1_scores"": {
    ""task_dimension_1"": 9,
    ""task_dimension_2"": 9,
    ""task_dimension_3"": 8,
    ""task_dimension_4"": 9,
    ""task_dimension_5"": 8,
    ""task_dimension_6"": 9,
    ""general_instruction_following"": 10,
    ""general_accuracy_specificity"": 9,
    ""general_practical_usefulness"": 9,
    ""general_organization_readability"": 8,
    ""general_tone_audience_fit"": 9
  },
  ""option_2_scores"": {
    ""task_dimension_1"": 5,
    ""task_dimension_2"": 5,
    ""task_dimension_3"": 4,
    ""task_dimension_4"": 4,
    ""task_dimension_5"": 4,
    ""task_dimension_6"": 5,
    ""general_instruction_following"": 5,
    ""general_accuracy_specificity"": 4,
    ""general_practical_usefulness"": 5,
    ""general_organization_readability"": 7,
    ""general_tone_audience_fit"": 7
  },
  ""option_1_average"": 8.6,
  ""option_2_average"": 5.0
}",option_1,"Option 1 excels in specificity, directly addressing the requested factors (supply, demand, weather, storage, LNG exports, infrastructure, policy) with concrete examples and clear causal links, making it far more practical and insightful for a client briefing. Option 2 is generic, lacks detail, and fails to meet the instruction's requirement to discuss how the specified factors interact.","{""general_accuracy_specificity"": 9, ""general_instruction_following"": 10, ""general_organization_readability"": 8, ""general_practical_usefulness"": 9, ""general_tone_audience_fit"": 9, ""task_dimension_1"": 9, ""task_dimension_2"": 9, ""task_dimension_3"": 8, ""task_dimension_4"": 9, ""task_dimension_5"": 8, ""task_dimension_6"": 9}","{""general_accuracy_specificity"": 4, ""general_instruction_following"": 5, ""general_organization_readability"": 7, ""general_practical_usefulness"": 5, ""general_tone_audience_fit"": 7, ""task_dimension_1"": 5, ""task_dimension_2"": 5, ""task_dimension_3"": 4, ""task_dimension_4"": 4, ""task_dimension_5"": 4, ""task_dimension_6"": 5}",8.6,5.0,True,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1
0,3,0,"{
  ""final_choice"": ""option_2"",
  ""short_rationale"": ""Option 2 provides more specific, nuanced, and forward-looking analysis of the 2026 market, directly addressing the requested factors like infrastructure and policy, while Option 1 offers generic trends that lack detail and foresight."",
  ""option_1_scores"": {
    ""task_dimension_1"": 5,
    ""task_dimension_2"": 5,
    ""task_dimension_3"": 4,
    ""task_dimension_4"": 5,
    ""task_dimension_5"": 4,
    ""task_dimension_6"": 5,
    ""general_instruction_following"": 7,
    ""general_accuracy_specificity"": 5,
    ""general_practical_usefulness"": 5,
    ""general_organization_readability"": 6,
    ""general_tone_audience_fit"": 6
  },
  ""option_2_scores"": {
    ""task_dimension_1"": 9,
    ""task_dimension_2"": 9,
    ""task_dimension_3"": 8,
    ""task_dimension_4"": 8,
    ""task_dimension_5"": 8,
    ""task_dimension_6"": 9,
    ""general_instruction_following"": 9,
    ""general_accuracy_specificity"": 9,
    ""general_practical_usefulness"": 9,
    ""general_organization_readability"": 8,
    ""general_tone_audience_fit"": 9
  },
  ""option_1_average"": 5.5,
  ""option_2_average"": 8.6
}",option_2,"Option 2 provides more specific, nuanced, and forward-looking analysis of the 2026 market, directly addressing the requested factors like infrastructure and policy, while Option 1 offers generic trends that lack detail and foresight.","{""general_accuracy_specificity"": 5, ""general_instruction_following"": 7, ""general_organization_readability"": 6, ""general_practical_usefulness"": 5, ""general_tone_audience_fit"": 6, ""task_dimension_1"": 5, ""task_dimension_2"": 5, ""task_dimension_3"": 4, ""task_dimension_4"": 5, ""task_dimension_5"": 4, ""task_dimension_6"": 5}","{""general_accuracy_specificity"": 9, ""general_instruction_following"": 9, ""general_organization_readability"": 8, ""general_practical_usefulness"": 9, ""general_tone_audience_fit"": 9, ""task_dimension_1"": 9, ""task_dimension_2"": 9, ""task_dimension_3"": 8, ""task_dimension_4"": 8, ""task_dimension_5"": 8, ""task_dimension_6"": 9}",5.5,8.6,True,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1
5,0,0,"{
  ""final_choice"": ""option_1"",
  ""short_rationale"": ""Option 1 provides a more detailed, specific, and actionable analysis with clear interactions between factors like supply, demand, weather, and policy, while Option 2 offers generic trends with less depth and practical insight."",
  ""option_1_scores"": {
    ""task_dimension_1"": 9,
    ""task_dimension_2"": 8,
    ""task_dimension_3"": 9,
    ""task_dimension_4"": 8,
    ""task_dimension_5"": 8,
    ""task_dimension_6"": 9,
    ""general_instruction_following"": 10,
    ""general_accuracy_specificity"": 9,
    ""general_practical_usefulness"": 9,
    ""general_organization_readability"": 9,
    ""general_tone_audience_fit"": 9
  },
  ""option_2_scores"": {
    ""task_dimension_1"": 6,
    ""task_dimension_2"": 5,
    ""task_dimension_3"": 5,
    ""task_dimension_4"": 5,
    ""task_dimension_5"": 5,
    ""task_dimension_6"": 6,
    ""general_instruction_following"": 7,
    ""general_accuracy_specificity"": 5,
    ""general_practical_usefulness"": 5,
    ""general_organization_readability"": 6,
    ""general_tone_audience_fit"": 6
  },
  ""option_1_average"": 8.6,
  ""option_2_average"": 5.6
}",option_1,"Option 1 provides a more detailed, specific, and actionable analysis with clear interactions between factors like supply, demand, weather, and policy, while Option 2 offers generic trends with less depth and practical insight.","{""general_accuracy_specificity"": 9, ""general_instruction_following"": 10, ""general_organization_readability"": 9, ""general_practical_usefulness"": 9, ""general_tone_audience_fit"": 9, ""task_dimension_1"": 9, ""task_dimension_2"": 8, ""task_dimension_3"": 9, ""task_dimension_4"": 8, ""task_dimension_5"": 8, ""task_dimension_6"": 9}","{""general_accuracy_specificity"": 5, ""general_instruction_following"": 7, ""general_organization_readability"": 6, ""general_practical_usefulness"": 5, ""general_tone_audience_fit"": 6, ""task_dimension_1"": 6, ""task_dimension_2"": 5, ""task_dimension_3"": 5, ""task_dimension_4"": 5, ""task_dimension_5"": 5, ""task_dimension_6"": 6}",8.6,5.6,True,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1
0,6,0,"{
  ""final_choice"": ""option_2"",
  ""short_rationale"": ""Option 2 demonstrates superior performance across all rubric dimensions, particularly in accuracy, specificity, and practical usefulness. It provides a detailed, nuanced analysis of how factors like LNG exports, AI-driven electricity demand, and production resilience interact, offering a sophisticated and actionable outlook for investors. Option 1, while compliant, is overly generic and lacks the depth required for a professional client briefing."",
  ""option_1_scores"": {
    ""task_dimension_1"": 6,
    ""task_dimension_2"": 5,
    ""task_dimension_3"": 5,
    ""task_dimension_4"": 5,
    ""task_dimension_5"": 5,
    ""task_dimension_6"": 5,
    ""general_instruction_following"": 9,
    ""general_accuracy_specificity"": 5,
    ""general_practical_usefulness"": 5,
    ""general_organization_readability"": 7,
    ""general_tone_audience_fit"": 7
  },
  ""option_2_scores"": {
    ""task_dimension_1"": 10,
    ""task_dimension_2"": 10,
    ""task_dimension_3"": 10,
    ""task_dimension_4"": 10,
    ""task_dimension_5"": 10,
    ""task_dimension_6"": 10,
    ""general_instruction_following"": 10,
    ""general_accuracy_specificity"": 10,
    ""general_practical_usefulness"": 10,
    ""general_organization_readability"": 10,
    ""general_tone_audience_fit"": 10
  },
  ""option_1_average"": 5.9,
  ""option_2_average"": 10.0
}",option_2,"Option 2 demonstrates superior performance across all rubric dimensions, particularly in accuracy, specificity, and practical usefulness. It provides a detailed, nuanced analysis of how factors like LNG exports, AI-driven electricity demand, and production resilience interact, offering a sophisticated and actionable outlook for investors. Option 1, while compliant, is overly generic and lacks the depth required for a professional client briefing.","{""general_accuracy_specificity"": 5, ""general_instruction_following"": 9, ""general_organization_readability"": 7, ""general_practical_usefulness"": 5, ""general_tone_audience_fit"": 7, ""task_dimension_1"": 6, ""task_dimension_2"": 5, ""task_dimension_3"": 5, ""task_dimension_4"": 5, ""task_dimension_5"": 5, ""task_dimension_6"": 5}","{""general_accuracy_specificity"": 10, ""general_instruction_following"": 10, ""general_organization_readability"": 10, ""general_practical_usefulness"": 10, ""general_tone_audience_fit"": 10, ""task_dimension_1"": 10, ""task_dimension_2"": 10, ""task_dimension_3"": 10, ""task_dimension_4"": 10, ""task_dimension_5"": 10, ""task_dimension_6"": 10}",5.9,10.0,True,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1
7,0,0,"{
  ""final_choice"": ""option_1"",
  ""short_rationale"": ""Option 1 excels in specificity, directly addressing the requested factors like LNG exports, associated gas, and infrastructure, and provides a nuanced, interconnected analysis suitable for a client briefing. Option 2 is generic, lacks detail on named factors, and offers a superficial overview."",
  ""option_1_scores"": {
    ""task_dimension_1"": 9,
    ""task_dimension_2"": 9,
    ""task_dimension_3"": 8,
    ""task_dimension_4"": 9,
    ""task_dimension_5"": 9,
    ""task_dimension_6"": 9,
    ""general_instruction_following"": 10,
    ""general_accuracy_specificity"": 9,
    ""general_practical_usefulness"": 9,
    ""general_organization_readability"": 9,
    ""general_tone_audience_fit"": 9
  },
  ""option_2_scores"": {
    ""task_dimension_1"": 5,
    ""task_dimension_2"": 5,
    ""task_dimension_3"": 6,
    ""task_dimension_4"": 5,
    ""task_dimension_5"": 5,
    ""task_dimension_6"": 5,
    ""general_instruction_following"": 7,
    ""general_accuracy_specificity"": 5,
    ""general_practical_usefulness"": 5,
    ""general_organization_readability"": 6,
    ""general_tone_audience_fit"": 6
  },
  ""option_1_average"": 8.8,
  ""option_2_average"": 5.5
}",option_1,"Option 1 excels in specificity, directly addressing the requested factors like LNG exports, associated gas, and infrastructure, and provides a nuanced, interconnected analysis suitable for a client briefing. Option 2 is generic, lacks detail on named factors, and offers a superficial overview.","{""general_accuracy_specificity"": 9, ""general_instruction_following"": 10, ""general_organization_readability"": 9, ""general_practical_usefulness"": 9, ""general_tone_audience_fit"": 9, ""task_dimension_1"": 9, ""task_dimension_2"": 9, ""task_dimension_3"": 8, ""task_dimension_4"": 9, ""task_dimension_5"": 9, ""task_dimension_6"": 9}","{""general_accuracy_specificity"": 5, ""general_instruction_following"": 7, ""general_organization_readability"": 6, ""general_practical_usefulness"": 5, ""general_tone_audience_fit"": 6, ""task_dimension_1"": 5, ""task_dimension_2"": 5, ""task_dimension_3"": 6, ""task_dimension_4"": 5, ""task_dimension_5"": 5, ""task_dimension_6"": 5}",8.8,5.5,True,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1
0,8,0,"{
  ""final_choice"": ""option_2"",
  ""short_rationale"": ""Option 2 provides a more detailed, specific, and actionable analysis with superior accuracy, practical usefulness, and audience fit, while Option 1 offers generic trends with less depth and weaker integration of factors."",
  ""option_1_scores"": {
    ""task_dimension_1"": 7,
    ""task_dimension_2"": 6,
    ""task_dimension_3"": 6,
    ""task_dimension_4"": 5,
    ""task_dimension_5"": 5,
    ""task_dimension_6"": 6,
    ""general_instruction_following"": 8,
    ""general_accuracy_specificity"": 6,
    ""general_practical_usefulness"": 6,
    ""general_organization_readability"": 7,
    ""general_tone_audience_fit"": 7
  },
  ""option_2_scores"": {
    ""task_dimension_1"": 9,
    ""task_dimension_2"": 9,
    ""task_dimension_3"": 9,
    ""task_dimension_4"": 8,
    ""task_dimension_5"": 8,
    ""task_dimension_6"": 8,
    ""general_instruction_following"": 9,
    ""general_accuracy_specificity"": 9,
    ""general_practical_usefulness"": 9,
    ""general_organization_readability"": 9,
    ""general_tone_audience_fit"": 9
  },
  ""option_1_average"": 6.5,
  ""option_2_average"": 8.6
}",option_2,"Option 2 provides a more detailed, specific, and actionable analysis with superior accuracy, practical usefulness, and audience fit, while Option 1 offers generic trends with less depth and weaker integration of factors.","{""general_accuracy_specificity"": 6, ""general_instruction_following"": 8, ""general_organization_readability"": 7, ""general_practical_usefulness"": 6, ""general_tone_audience_fit"": 7, ""task_dimension_1"": 7, ""task_dimension_2"": 6, ""task_dimension_3"": 6, ""task_dimension_4"": 5, ""task_dimension_5"": 5, ""task_dimension_6"": 6}","{""general_accuracy_specificity"": 9, ""general_instruction_following"": 9, ""general_organization_readability"": 9, ""general_practical_usefulness"": 9, ""general_tone_audience_fit"": 9, ""task_dimension_1"": 9, ""task_dimension_2"": 9, ""task_dimension_3"": 9, ""task_dimension_4"": 8, ""task_dimension_5"": 8, ""task_dimension_6"": 8}",6.5,8.6,True,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1
0,9,0,"{
  ""final_choice"": ""option_2"",
  ""short_rationale"": ""Option 2 excels in specificity, practical usefulness, and directly addressing the requested factors like infrastructure and policy, making it superior for a professional client briefing. Option 1 is generic and lacks the detailed, interconnected analysis required."",
  ""option_1_scores"": {
    ""task_dimension_1"": 7,
    ""task_dimension_2"": 6,
    ""task_dimension_3"": 6,
    ""task_dimension_4"": 5,
    ""task_dimension_5"": 5,
    ""task_dimension_6"": 6,
    ""general_instruction_following"": 8,
    ""general_accuracy_specificity"": 5,
    ""general_practical_usefulness"": 5,
    ""general_organization_readability"": 7,
    ""general_tone_audience_fit"": 7
  },
  ""option_2_scores"": {
    ""task_dimension_1"": 9,
    ""task_dimension_2"": 9,
    ""task_dimension_3"": 9,
    ""task_dimension_4"": 9,
    ""task_dimension_5"": 9,
    ""task_dimension_6"": 9,
    ""general_instruction_following"": 9,
    ""general_accuracy_specificity"": 10,
    ""general_practical_usefulness"": 10,
    ""general_organization_readability"": 9,
    ""general_tone_audience_fit"": 9
  },
  ""option_1_average"": 6.2,
  ""option_2_average"": 9.1
}",option_2,"Option 2 excels in specificity, practical usefulness, and directly addressing the requested factors like infrastructure and policy, making it superior for a professional client briefing. Option 1 is generic and lacks the detailed, interconnected analysis required.","{""general_accuracy_specificity"": 5, ""general_instruction_following"": 8, ""general_organization_readability"": 7, ""general_practical_usefulness"": 5, ""general_tone_audience_fit"": 7, ""task_dimension_1"": 7, ""task_dimension_2"": 6, ""task_dimension_3"": 6, ""task_dimension_4"": 5, ""task_dimension_5"": 5, ""task_dimension_6"": 6}","{""general_accuracy_specificity"": 10, ""general_instruction_following"": 9, ""general_organization_readability"": 9, ""general_practical_usefulness"": 10, ""general_tone_audience_fit"": 9, ""task_dimension_1"": 9, ""task_dimension_2"": 9, ""task_dimension_3"": 9, ""task_dimension_4"": 9, ""task_dimension_5"": 9, ""task_dimension_6"": 9}",6.2,9.1,True,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1
2,1,0,"{
  ""final_choice"": ""option_1"",
  ""short_rationale"": ""Option 1 excels in specificity, detail, and directly addressing the requested factors like infrastructure and policy, providing a more nuanced and actionable analysis for a professional client briefing."",
  ""option_1_scores"": {
    ""task_dimension_1"": 9,
    ""task_dimension_2"": 8,
    ""task_dimension_3"": 9,
    ""task_dimension_4"": 8,
    ""task_dimension_5"": 8,
    ""task_dimension_6"": 8,
    ""general_instruction_following"": 9,
    ""general_accuracy_specificity"": 9,
    ""general_practical_usefulness"": 9,
    ""general_organization_readability"": 8,
    ""general_tone_audience_fit"": 9
  },
  ""option_2_scores"": {
    ""task_dimension_1"": 7,
    ""task_dimension_2"": 6,
    ""task_dimension_3"": 7,
    ""task_dimension_4"": 6,
    ""task_dimension_5"": 6,
    ""task_dimension_6"": 7,
    ""general_instruction_following"": 8,
    ""general_accuracy_specificity"": 7,
    ""general_practical_usefulness"": 7,
    ""general_organization_readability"": 7,
    ""general_tone_audience_fit"": 8
  },
  ""option_1_average"": 8.4,
  ""option_2_average"": 6.9
}",option_1,"Option 1 excels in specificity, detail, and directly addressing the requested factors like infrastructure and policy, providing a more nuanced and actionable analysis for a professional client briefing.","{""general_accuracy_specificity"": 9, ""general_instruction_following"": 9, ""general_organization_readability"": 8, ""general_practical_usefulness"": 9, ""general_tone_audience_fit"": 9, ""task_dimension_1"": 9, ""task_dimension_2"": 8, ""task_dimension_3"": 9, ""task_dimension_4"": 8, ""task_dimension_5"": 8, ""task_dimension_6"": 8}","{""general_accuracy_specificity"": 7, ""general_instruction_following"": 8, ""general_organization_readability"": 7, ""general_practical_usefulness"": 7, ""general_tone_audience_fit"": 8, ""task_dimension_1"": 7, ""task_dimension_2"": 6, ""task_dimension_3"": 7, ""task_dimension_4"": 6, ""task_dimension_5"": 6, ""task_dimension_6"": 7}",8.4,6.9,True,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1
3,1,0,"{
  ""final_choice"": ""option_2"",
  ""short_rationale"": ""Option 2 provides a more concise, actionable briefing with clearer organization, stronger audience fit for a client, and a more practical summary outlook. Option 1's trends are less distinct and its summary is more generic."",
  ""option_1_scores"": {
    ""task_dimension_1"": 7,
    ""task_dimension_2"": 7,
    ""task_dimension_3"": 6,
    ""task_dimension_4"": 7,
    ""task_dimension_5"": 6,
    ""task_dimension_6"": 7,
    ""general_instruction_following"": 8,
    ""general_accuracy_specificity"": 7,
    ""general_practical_usefulness"": 6,
    ""general_organization_readability"": 6,
    ""general_tone_audience_fit"": 6
  },
  ""option_2_scores"": {
    ""task_dimension_1"": 8,
    ""task_dimension_2"": 8,
    ""task_dimension_3"": 8,
    ""task_dimension_4"": 8,
    ""task_dimension_5"": 8,
    ""task_dimension_6"": 8,
    ""general_instruction_following"": 9,
    ""general_accuracy_specificity"": 8,
    ""general_practical_usefulness"": 8,
    ""general_organization_readability"": 9,
    ""general_tone_audience_fit"": 9
  },
  ""option_1_average"": 6.8,
  ""option_2_average"": 8.3
}",option_2,"Option 2 provides a more concise, actionable briefing with clearer organization, stronger audience fit for a client, and a more practical summary outlook. Option 1's trends are less distinct and its summary is more generic.","{""general_accuracy_specificity"": 7, ""general_instruction_following"": 8, ""general_organization_readability"": 6, ""general_practical_usefulness"": 6, ""general_tone_audience_fit"": 6, ""task_dimension_1"": 7, ""task_dimension_2"": 7, ""task_dimension_3"": 6, ""task_dimension_4"": 7, ""task_dimension_5"": 6, ""task_dimension_6"": 7}","{""general_accuracy_specificity"": 8, ""general_instruction_following"": 9, ""general_organization_readability"": 9, ""general_practical_usefulness"": 8, ""general_tone_audience_fit"": 9, ""task_dimension_1"": 8, ""task_dimension_2"": 8, ""task_dimension_3"": 8, ""task_dimension_4"": 8, ""task_dimension_5"": 8, ""task_dimension_6"": 8}",6.8,8.3,True,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1
