scope,judge_a,judge_b,n_pairs,mean_abs_gap,within_one_share,method,correlation
all,Claude-Opus-4.8,DeepSeek-V3.1,98,2.045918367346939,0.37755102040816324,spearman,0.4793982807983719
all,Claude-Opus-4.8,DeepSeek-V3.1,98,2.045918367346939,0.37755102040816324,pearson,0.4852994516286566
all,Claude-Opus-4.8,google/gemini-3.1-pro,98,1.5765306122448979,0.5,spearman,0.6941938621504298
all,Claude-Opus-4.8,google/gemini-3.1-pro,98,1.5765306122448979,0.5,pearson,0.6973004333666555
all,Claude-Opus-4.8,GPT-4.1,35,1.9285714285714286,0.42857142857142855,spearman,0.3504140456870801
all,Claude-Opus-4.8,GPT-4.1,35,1.9285714285714286,0.42857142857142855,pearson,0.4099954782641043
all,DeepSeek-V3.1,google/gemini-3.1-pro,112,2.1651785714285716,0.41964285714285715,spearman,0.37765171926415136
all,DeepSeek-V3.1,google/gemini-3.1-pro,112,2.1651785714285716,0.41964285714285715,pearson,0.39360957692509213
all,DeepSeek-V3.1,GPT-4.1,49,3.173469387755102,0.12244897959183673,spearman,0.3675373286274825
all,DeepSeek-V3.1,GPT-4.1,49,3.173469387755102,0.12244897959183673,pearson,0.39606961935457835
all,google/gemini-3.1-pro,GPT-4.1,49,2.295918367346939,0.3673469387755102,spearman,0.28047249648095957
all,google/gemini-3.1-pro,GPT-4.1,49,2.295918367346939,0.3673469387755102,pearson,0.3353143795133685
augmentation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.8979591836734695,0.40816326530612246,spearman,0.4830472515712326
augmentation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.8979591836734695,0.40816326530612246,pearson,0.48290895656400135
augmentation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.5204081632653061,0.5306122448979592,spearman,0.6509423885906481
augmentation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.5204081632653061,0.5306122448979592,pearson,0.6613615168728474
augmentation,Claude-Opus-4.8,GPT-4.1,21,1.9285714285714286,0.42857142857142855,spearman,0.5006564913190594
augmentation,Claude-Opus-4.8,GPT-4.1,21,1.9285714285714286,0.42857142857142855,pearson,0.5444130464898105
augmentation,DeepSeek-V3.1,google/gemini-3.1-pro,56,2.4910714285714284,0.30357142857142855,spearman,0.22463475999399823
augmentation,DeepSeek-V3.1,google/gemini-3.1-pro,56,2.4910714285714284,0.30357142857142855,pearson,0.24337241246948316
augmentation,DeepSeek-V3.1,GPT-4.1,28,3.375,0.14285714285714285,spearman,0.42609552226902986
augmentation,DeepSeek-V3.1,GPT-4.1,28,3.375,0.14285714285714285,pearson,0.4388594201748985
augmentation,google/gemini-3.1-pro,GPT-4.1,28,2.892857142857143,0.25,spearman,0.22197719932795915
augmentation,google/gemini-3.1-pro,GPT-4.1,28,2.892857142857143,0.25,pearson,0.21597950618153453
automation,Claude-Opus-4.8,DeepSeek-V3.1,49,2.193877551020408,0.3469387755102041,spearman,0.4836859550336773
automation,Claude-Opus-4.8,DeepSeek-V3.1,49,2.193877551020408,0.3469387755102041,pearson,0.48186379314829275
automation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.6326530612244898,0.46938775510204084,spearman,0.7570160598686545
automation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.6326530612244898,0.46938775510204084,pearson,0.7544772449385516
automation,Claude-Opus-4.8,GPT-4.1,14,1.9285714285714286,0.42857142857142855,spearman,0.1756530514689629
automation,Claude-Opus-4.8,GPT-4.1,14,1.9285714285714286,0.42857142857142855,pearson,0.16810933814700765
automation,DeepSeek-V3.1,google/gemini-3.1-pro,56,1.8392857142857142,0.5357142857142857,spearman,0.512331289105178
automation,DeepSeek-V3.1,google/gemini-3.1-pro,56,1.8392857142857142,0.5357142857142857,pearson,0.5315501256228345
automation,DeepSeek-V3.1,GPT-4.1,21,2.9047619047619047,0.09523809523809523,spearman,0.31312485275816176
automation,DeepSeek-V3.1,GPT-4.1,21,2.9047619047619047,0.09523809523809523,pearson,0.2696799449852968
automation,google/gemini-3.1-pro,GPT-4.1,21,1.5,0.5238095238095238,spearman,0.4823466978468286
automation,google/gemini-3.1-pro,GPT-4.1,21,1.5,0.5238095238095238,pearson,0.45927701156435063
