model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,google/gemini-3.1-pro,gpt-4.1
Claude-Opus-4.8,automation_Claude-Opus-4.8,,0.7083333333333334,0.7916666666666666,0.4444444444444444
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,0.625,1.0,0.3333333333333333
DeepSeek-V3.1,automation_DeepSeek-V3.1,0.42857142857142855,,0.3333333333333333,0.6666666666666666
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,0.0,0.0,0.0,
GPT-4.1,automation_GPT-4.1,0.42857142857142855,0.3333333333333333,0.4166666666666667,
GPT-5-Mini,automation_GPT-5-Mini,0.9523809523809523,0.625,0.4166666666666667,
GPT-O3-Mini,automation_GPT-O3-Mini,0.42857142857142855,0.43478260869565216,0.4166666666666667,
GPT-O4-Mini,automation_GPT-O4-Mini,0.47619047619047616,0.5,0.5833333333333334,
GPT-OSS-120B,automation_GPT-OSS-120B,0.38095238095238093,0.6666666666666666,0.5416666666666666,
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,0.9047619047619048,0.6086956521739131,,0.5555555555555556
