worker_model,assistant_model,condition,avg_rank,avg_win_rate,std_rank
gpt-3.5-turbo,GPT-4.1,scaffold_GPT-4.1,1.0,1.0,
gpt-3.5-turbo,GPT-OSS-120B,scaffold_GPT-OSS-120B,2.3333333333333335,0.8518518518518517,
gpt-3.5-turbo,GPT-O3-Mini,scaffold_GPT-O3-Mini,2.6666666666666665,0.8148148148148149,
gpt-3.5-turbo,Claude-3.5-Sonnet,scaffold_Claude-3.5-Sonnet,4.5,0.5925925925925926,
gpt-3.5-turbo,Claude-Opus-4.6,scaffold_Claude-Opus-4.6,4.833333333333333,0.5555555555555556,
gpt-3.5-turbo,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,5.833333333333333,0.48148148148148145,
gpt-3.5-turbo,GPT-O4-Mini,scaffold_GPT-O4-Mini,6.833333333333333,0.3703703703703704,
gpt-3.5-turbo,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,8.333333333333334,0.1851851851851852,
gpt-3.5-turbo,GPT-5.4,scaffold_GPT-5.4,8.666666666666666,0.14814814814814814,
gpt-3.5-turbo,plain,plain,10.0,0.0,
