model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,automation_Claude-Opus-4.8,2.5,0.7222222222222222
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,5.0,0.611111111111111
DeepSeek-V3.1,automation_DeepSeek-V3.1,7.0,0.4682539682539682
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,10.0,0.0
GPT-4.1,automation_GPT-4.1,8.0,0.26785714285714285
GPT-5-Mini,automation_GPT-5-Mini,4.0,0.6547619047619048
GPT-O3-Mini,automation_GPT-O3-Mini,9.0,0.21428571428571427
GPT-O4-Mini,automation_GPT-O4-Mini,1.0,0.7440476190476191
GPT-OSS-120B,automation_GPT-OSS-120B,6.0,0.5952380952380952
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,2.5,0.7222222222222222
