model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,gpt-4.1
Claude-Opus-4.8,automation_Claude-Opus-4.8,,0.6666666666666666,0.5151515151515151
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,0.8205128205128206,0.6060606060606061
DeepSeek-V3.1,automation_DeepSeek-V3.1,0.9420289855072465,,0.45454545454545453
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,0.043478260869565216,0.07692307692307693,
GPT-4.1,automation_GPT-4.1,0.7826086956521738,0.5512820512820512,
GPT-5-Mini,automation_GPT-5-Mini,0.2028985507246377,0.28205128205128205,
GPT-O3-Mini,automation_GPT-O3-Mini,0.3913043478260869,0.3461538461538462,
GPT-O4-Mini,automation_GPT-O4-Mini,0.753623188405797,0.717948717948718,
GPT-OSS-120B,automation_GPT-OSS-120B,0.5652173913043478,0.7435897435897436,
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,0.31884057971014496,0.2948717948717949,0.42424242424242425
