model_id,model_label,scaffold_path,scaffold_sha256,n_chars
gpt-4.1,GPT-4.1,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tutoring/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-4.1.md,0c19f0b73f44b30ad07c6bb5d848b96f4d7250e305ba26ac5183349b1dda55a6,3056
o4-mini-2025-04-16,GPT-O4-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tutoring/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-O4-Mini.md,35d00d23a5b7d2e6e193968b914877e79a78670578b1a837b6f306afb041d36e,3067
o3-mini-2025-01-31,GPT-O3-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tutoring/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-O3-Mini.md,de1d76e35288bfc7a72f1020b15d999159bb981ad27e1438b2a2b1e53d6d9454,3436
openai/gpt-oss-120b,GPT-OSS-120B,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tutoring/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-OSS-120B.md,34c091d85f831b4a28dc9b0d8494d8573256de0e6e443771b225eed28220481f,3295
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tutoring/20260609_stable_frontier_v2/augmentation/scaffolds/Claude-Sonnet-4.6.md,2e604deb35aafe338842eebe775b495105bb0c242e4c946a5d1787ef60108c6b,3767
anthropic/claude-opus-4-8,Claude-Opus-4.8,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tutoring/20260609_stable_frontier_v2/augmentation/scaffolds/Claude-Opus-4.8.md,803690749156f31fb177f2f7184235e434364a2356274073161a56b45fa538e2,2747
google/gemini-3.1-pro,Gemini-3.1-Pro,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tutoring/20260609_stable_frontier_v2/augmentation/scaffolds/Gemini-3.1-Pro.md,5c3a08d84054d4204c225bf7ea1a8b2b5744966dc67fdccf6a364227fe343de6,1013
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tutoring/20260609_stable_frontier_v2/augmentation/scaffolds/DeepSeek-V3.1.md,cd29e4a46d4a5685dde6ad2a23b5f0a2cf8e545b58290d17ea721b616b96d968,4544
gpt-5-pro,GPT-5-Pro,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tutoring/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-5-Pro.md,3d2c9cc3b86f68fe81b6353198d60bdeac0ea7eb8e2172ffb347b26628f634eb,51
gpt-5-mini-2025-08-07,GPT-5-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tutoring/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-5-Mini.md,0b411244ea43103663bd52eda0767be5636dd0acad6f392e26c0efc5c1e5a509,1173
