model_id,model_label,scaffold_path,scaffold_sha256,n_chars
gpt-4.1,GPT-4.1,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/operations_research/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-4.1.md,b352d255ad448490beab74f6bb2a402584f8aa2703a9566f46b6e3c49fe3086f,3304
gpt-5-pro,GPT-5-Pro,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/operations_research/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-5-Pro.md,7212de7c64028dfb3898b199beb236c6114484fc7a62163a849746be1c28c753,1365
o4-mini-2025-04-16,GPT-O4-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/operations_research/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-O4-Mini.md,27971920aa3eb389103d0e6975f7d0fa9659f6e423b4208980e589c6fcb2c977,2832
o3-mini-2025-01-31,GPT-O3-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/operations_research/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-O3-Mini.md,c47db126aed2a24ab72d5431bb71f51ecffbe3424e8fdd71e2cdfa444c89d898,2991
openai/gpt-oss-120b,GPT-OSS-120B,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/operations_research/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-OSS-120B.md,4de11bfa39e3ffb0751e52397a8b356bf29dd19902a83e2787f68858f804bc22,4146
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/operations_research/20260609_stable_frontier_v2/augmentation/scaffolds/Claude-Sonnet-4.6.md,e8f5d87f848495411e51f8ca810060dc17739de7a5e951a5b89d7160970b97be,2978
anthropic/claude-opus-4-8,Claude-Opus-4.8,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/operations_research/20260609_stable_frontier_v2/augmentation/scaffolds/Claude-Opus-4.8.md,2a31e208f7dbc50e7a3195a17ef9ccaf5b673fa5ea69214b862ccf6634c68b89,3231
google/gemini-3.1-pro,Gemini-3.1-Pro,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/operations_research/20260609_stable_frontier_v2/augmentation/scaffolds/Gemini-3.1-Pro.md,fe2b02b9b1ccb559d61dd84878a95228ff3338da2c8bf618b8eae5f6f90d6b1e,2434
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/operations_research/20260609_stable_frontier_v2/augmentation/scaffolds/DeepSeek-V3.1.md,f6cf6ad4de9e7799d9a3744a6164ac9351276ad8267221f7713c9169b52d9d9e,3068
gpt-5-mini-2025-08-07,GPT-5-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/operations_research/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-5-Mini.md,6da81f4632e934a0abcdcb1649da6a86facb2829df4fb6823803f2fdecf5ea1b,3229
