task,mode,model_label,condition,gpt-4.1,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1
counselling,augmentation,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,2.5,,7.0
counselling,augmentation,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.5,,4.0
counselling,augmentation,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,1.0,1.0,
counselling,augmentation,GPT-4.1,scaffold_GPT-4.1,,4.0,4.0
counselling,augmentation,GPT-5-Mini,scaffold_GPT-5-Mini,,7.0,7.0
counselling,augmentation,GPT-O3-Mini,scaffold_GPT-O3-Mini,,3.0,1.0
counselling,augmentation,GPT-O4-Mini,scaffold_GPT-O4-Mini,,2.0,2.0
counselling,augmentation,GPT-OSS-120B,scaffold_GPT-OSS-120B,,5.0,4.0
counselling,augmentation,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,4.5,6.0,7.0
counselling,augmentation,plain,plain,2.5,8.0,9.0
counselling,automation,Claude-Opus-4.8,automation_Claude-Opus-4.8,3.0,,7.5
counselling,automation,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,3.0,,1.0
counselling,automation,DeepSeek-V3.1,automation_DeepSeek-V3.1,1.0,4.0,
counselling,automation,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,,8.0,9.0
counselling,automation,GPT-4.1,automation_GPT-4.1,,6.0,7.5
counselling,automation,GPT-5-Mini,automation_GPT-5-Mini,,1.0,2.0
counselling,automation,GPT-O3-Mini,automation_GPT-O3-Mini,,7.0,5.0
counselling,automation,GPT-O4-Mini,automation_GPT-O4-Mini,,3.0,5.0
counselling,automation,GPT-OSS-120B,automation_GPT-OSS-120B,,2.0,5.0
counselling,automation,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.0,5.0,3.0
market_trends,augmentation,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,3.0,,3.0
market_trends,augmentation,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,3.0,,6.5
market_trends,augmentation,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.0,2.0,
market_trends,augmentation,GPT-4.1,scaffold_GPT-4.1,,2.0,5.0
market_trends,augmentation,GPT-5-Mini,scaffold_GPT-5-Mini,,4.0,4.0
market_trends,augmentation,GPT-O3-Mini,scaffold_GPT-O3-Mini,,7.0,6.5
market_trends,augmentation,GPT-O4-Mini,scaffold_GPT-O4-Mini,,5.0,2.0
market_trends,augmentation,GPT-OSS-120B,scaffold_GPT-OSS-120B,,2.0,1.0
market_trends,augmentation,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.0,6.0,8.5
market_trends,augmentation,plain,plain,3.0,8.0,8.5
market_trends,automation,Claude-Opus-4.8,automation_Claude-Opus-4.8,1.5,,2.5
market_trends,automation,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,3.5,,2.5
market_trends,automation,DeepSeek-V3.1,automation_DeepSeek-V3.1,1.5,1.0,
market_trends,automation,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,,8.0,9.0
market_trends,automation,GPT-4.1,automation_GPT-4.1,,5.0,8.0
market_trends,automation,GPT-5-Mini,automation_GPT-5-Mini,,4.0,6.0
market_trends,automation,GPT-O3-Mini,automation_GPT-O3-Mini,,6.0,7.0
market_trends,automation,GPT-O4-Mini,automation_GPT-O4-Mini,,3.0,4.5
market_trends,automation,GPT-OSS-120B,automation_GPT-OSS-120B,,7.0,1.0
market_trends,automation,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.5,2.0,4.5
meal_plan,augmentation,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,10.666666666666666,,4.666666666666667
meal_plan,augmentation,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,9.166666666666666,,17.166666666666668
meal_plan,augmentation,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.0,6.0,
meal_plan,augmentation,GPT-4.1,scaffold_GPT-4.1,,10.5,11.0
meal_plan,augmentation,GPT-5-Mini,scaffold_GPT-5-Mini,,2.0,5.666666666666667
meal_plan,augmentation,GPT-O3-Mini,scaffold_GPT-O3-Mini,,17.5,19.166666666666668
meal_plan,augmentation,GPT-O4-Mini,scaffold_GPT-O4-Mini,,10.0,12.0
meal_plan,augmentation,GPT-OSS-120B,scaffold_GPT-OSS-120B,,12.5,8.833333333333334
meal_plan,augmentation,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,11.333333333333334,22.0,24.833333333333332
meal_plan,augmentation,plain,plain,5.833333333333333,19.5,22.666666666666668
meal_plan,automation,Claude-Opus-4.8,automation_Claude-Opus-4.8,6.5,,9.666666666666666
meal_plan,automation,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,4.666666666666667,,3.1666666666666665
meal_plan,automation,DeepSeek-V3.1,automation_DeepSeek-V3.1,6.5,2.0,
meal_plan,automation,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,,23.0,26.0
meal_plan,automation,GPT-4.1,automation_GPT-4.1,,5.833333333333333,13.833333333333334
meal_plan,automation,GPT-5-Mini,automation_GPT-5-Mini,,19.666666666666668,20.5
meal_plan,automation,GPT-O3-Mini,automation_GPT-O3-Mini,,14.666666666666666,18.666666666666668
meal_plan,automation,GPT-O4-Mini,automation_GPT-O4-Mini,,7.166666666666667,7.666666666666667
meal_plan,automation,GPT-OSS-120B,automation_GPT-OSS-120B,,11.0,5.666666666666667
meal_plan,automation,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,8.333333333333334,16.666666666666668,20.833333333333332
operations_research,augmentation,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,3.0,,5.0
