judge_model,model_id,model_label,condition,dimension,mean_score,sd_score,n_scores
anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,general_accuracy_specificity,4.428571428571429,0.5345224838248487,7
anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,general_instruction_following,6.428571428571429,0.5345224838248486,7
anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,general_organization_readability,6.857142857142857,0.37796447300922725,7
anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,general_practical_usefulness,4.428571428571429,0.5345224838248486,7
anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,general_tone_audience_fit,7.142857142857143,0.6900655593423541,7
anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,task_dimension_1,7.428571428571429,0.5345224838248486,7
anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,task_dimension_2,6.428571428571429,0.7867957924694431,7
anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,task_dimension_3,5.285714285714286,0.4879500364742666,7
anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,task_dimension_4,4.142857142857143,0.6900655593423541,7
anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,task_dimension_5,6.857142857142857,0.37796447300922725,7
anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,task_dimension_6,7.142857142857143,0.3779644730092273,7
anthropic/claude-opus-4-8,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,general_accuracy_specificity,4.285714285714286,0.48795003647426666,7
anthropic/claude-opus-4-8,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,general_instruction_following,6.142857142857143,0.37796447300922714,7
anthropic/claude-opus-4-8,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,general_organization_readability,6.714285714285714,0.48795003647426655,7
anthropic/claude-opus-4-8,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,general_practical_usefulness,4.142857142857143,0.37796447300922725,7
anthropic/claude-opus-4-8,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,general_tone_audience_fit,6.714285714285714,0.48795003647426655,7
anthropic/claude-opus-4-8,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,task_dimension_1,7.0,0.0,7
anthropic/claude-opus-4-8,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,task_dimension_2,6.285714285714286,0.48795003647426666,7
anthropic/claude-opus-4-8,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,task_dimension_3,5.142857142857143,0.37796447300922725,7
